month,year,newTickets,createdIn,createdPre,approvedIn,approvedPre,approvedAmountIn,approvedAmountPre,unapprovedIn,unapprovedPre,generatedAt
2023-08,2023,0,0,0,2,1,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2023-09,2023,0,0,0,508,70,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2023-10,2023,0,0,0,141,84,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2023-11,2023,0,0,0,159,72,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2023-12,2023,0,0,0,120,65,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-01,2024,0,0,0,201,81,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-02,2024,0,0,0,219,82,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-03,2024,0,0,0,193,115,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-04,2024,0,0,0,186,101,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-05,2024,0,0,0,358,107,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-06,2024,0,0,0,271,66,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-07,2024,0,0,0,371,172,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-08,2024,0,0,0,507,223,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-09,2024,0,0,0,430,133,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-10,2024,0,0,0,499,161,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-11,2024,0,0,0,492,138,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2024-12,2024,0,0,0,420,107,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-01,2025,0,765,148,432,131,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-02,2025,0,740,119,472,110,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-03,2025,0,807,122,596,114,170.49,0.0,0,0,2026-07-10T00:05:32+00:00
2025-04,2025,0,709,161,574,122,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-05,2025,0,872,134,616,128,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-06,2025,0,864,154,641,133,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-07,2025,0,794,153,538,109,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-08,2025,0,784,179,468,106,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-09,2025,0,739,254,536,108,6340.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-10,2025,0,870,193,316,118,0.0,82.71,0,0,2026-07-10T00:05:32+00:00
2025-11,2025,0,740,158,384,113,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2025-12,2025,0,586,164,373,91,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2026-01,2026,0,672,123,297,94,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2026-02,2026,0,884,170,770,220,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2026-03,2026,0,757,197,1027,142,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2026-04,2026,0,790,177,870,263,0.0,0.0,0,0,2026-07-10T00:05:32+00:00
2026-05,2026,196,782,208,1065,243,0.0,0.0,20,1,2026-07-10T00:05:32+00:00
2026-06,2026,935,766,169,893,239,18380.27,997.68,116,29,2026-07-10T00:05:32+00:00
2026-07,2026,263,219,44,299,90,0.0,0.0,68,13,2026-07-10T00:05:32+00:00
